Title,Subtitle,Region,Currency,"Base shipping price","Additional product shipping price (Tier 1)","Additional product limit (Tier 1)","Additional product shipping price (Tier 2)","Additional product limit (Tier 2)","Additional product shipping price (Tier 3)","Additional product limit (Tier 3)","Additional product shipping price (Tier 4)","Additional product limit (Tier 4)","Additional product shipping price (Tier 5)","Additional product limit (Tier 5)"
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater","Australia / New Zealand",USD,10.89,5.25,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater",Japan,USD,10.89,5.25,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater",Brazil,USD,13.99,6.25,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater",Worldwide,USD,13.99,6.25,,,,,,,,,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories",USA,USD,4.69,2,8,1.15,23,1,48,0.75,83,0.5,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories",Europe,USD,4.99,1.45,,,,,,,,,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories",UK,USD,4.59,1.5,8,1,23,0.75,48,0.5,83,0.35,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories",Canada,USD,7.29,1.95,8,1.4,23,1.2,48,1,83,0.8,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories","Australia / New Zealand",USD,7.99,1.4,,,,,,,,,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories",Japan,USD,4.89,2,,,,,,,,,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"All-over print clothing and textiles","Shirts, leggings, dresses, skirts, sports bras, shorts, swimwear, flags, fabrics, hair accessories",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey",USA,USD,4.95,2.2,8,1.15,23,1,48,0.75,83,0.5,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey",Europe,USD,4.99,1.45,8,1,23,0.75,48,0.5,83,0.35,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey",UK,USD,4.79,1.5,8,1,23,0.75,48,0.5,83,0.35,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey",Canada,USD,8.59,1.95,8,1.4,23,1.2,48,1,83,0.8,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey","Australia / New Zealand",USD,7.99,1.4,8,1,23,0.6,48,0.6,83,0.5,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey",Japan,USD,4.95,2,8,1.3,23,1.1,48,0.9,83,0.7,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"All-over print clothing and textiles","All-Over Print Recycled Hockey Fan Jersey, All-Over Print Men's Board Shorts, All-Over Print Flare Leggings, All-Over Print Recycled Unisex Baseball Jersey, All-Over Print Premium Basketball Jersey, All-Over Print American Football Jersey",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers",USA,USD,8.29,2.5,13,1.75,23,1.5,48,1.3,73,1.2,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers",Europe,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers",UK,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers","EFTA States",USD,11.39,2.2,13,2,23,1.7,48,1.3,73,1.1,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers",Canada,USD,9.79,2.35,13,1.9,23,1.7,48,1.5,73,1.2,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers","Australia / New Zealand",USD,12.49,2.25,,,,,,,,,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers",Japan,USD,7.89,2.6,,,,,,,,,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers",Brazil,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"All-over print clothing and textiles","Hoodies, sweatshirts, jackets, pants, joggers",Worldwide,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress",USA,USD,8.29,7.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress",Europe,USD,9.29,8.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress",UK,USD,9.29,8.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress","EFTA States",USD,9.29,8.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress",Canada,USD,8.29,7.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress","Australia / New Zealand",USD,8.29,7.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress",Japan,USD,8.29,7.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress",Brazil,USD,9.29,8.99,,,,,,,,,
"All-over print clothing and textiles","All-Over Print Men's Windbreaker, All-Over Print Unisex Track Pants, All-Over Print Women's Cropped Windbreaker, All-Over Print Women's Pajamas (Shorts, Pants, Short Sleeve Top, Long Sleeve Top), All-Over Print Slip Dress",Worldwide,USD,9.29,8.99,,,,,,,,,
"Face coverings","Neck gaiters, face masks",USA,USD,4.69,2,8,1.15,23,1,48,0.75,83,0.5,
"Face coverings","Neck gaiters, face masks",Europe,USD,4.99,1.45,,,,,,,,,
"Face coverings","Neck gaiters, face masks",UK,USD,4.59,1.5,8,1,23,0.75,48,0.5,83,0.35,
"Face coverings","Neck gaiters, face masks","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
"Face coverings","Neck gaiters, face masks",Canada,USD,7.29,1.95,8,1.4,23,1.2,48,1,83,0.8,
"Face coverings","Neck gaiters, face masks","Australia / New Zealand",USD,7.99,1.4,,,,,,,,,
"Face coverings","Neck gaiters, face masks",Japan,USD,4.89,2,,,,,,,,,
"Face coverings","Neck gaiters, face masks",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Face coverings","Neck gaiters, face masks",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets",USA,USD,4.69,2,8,1.15,23,1,48,0.75,83,0.5,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets",Europe,USD,4.99,1.45,,,,,,,,,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets",UK,USD,4.59,1.5,8,1,23,0.75,48,0.5,83,0.35,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets",Canada,USD,7.29,1.95,8,1.4,23,1.2,48,1,83,0.8,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets","Australia / New Zealand",USD,7.99,1.4,,,,,,,,,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets",Japan,USD,4.89,2,,,,,,,,,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Kids and youth clothing","T-shirts, all-over print shirts, hoodies, baby bibs, leggings, baby bodysuits, swimwear, baby jackets",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B",USA,USD,8.29,2.5,13,1.75,23,1.5,48,1.3,73,1.2,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B",Europe,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B",UK,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B","EFTA States",USD,11.39,2.2,13,2,23,1.7,48,1.3,73,1.1,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B",Canada,USD,9.79,2.35,13,1.9,23,1.7,48,1.5,73,1.2,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B","Australia / New Zealand",USD,12.49,2.25,,,,,,,,,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B",Japan,USD,7.89,2.6,,,,,,,,,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B",Brazil,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"Kids and youth clothing","Youth Heavy Blend Hoodie | Gildan 18500B",Worldwide,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies",USA,USD,4.69,2,8,1.15,23,1,48,0.75,83,0.5,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies",Europe,USD,4.99,1.45,,,,,,,,,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies",UK,USD,4.59,1.5,8,1,23,0.75,48,0.5,83,0.35,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies",Canada,USD,7.89,1.95,8,1.4,23,1.2,48,1,83,0.8,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies","Australia / New Zealand",USD,8.09,1.4,8,1,23,0.6,48,0.6,83,0.5,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies",Japan,USD,4.89,2,,,,,,,,,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Embroidered hats, beanies, and visors","Dad hats, baseball caps, snapbacks, trucker hats, 5-panel hats, mesh hats, beanies, bucket hats, visors, all-over print beanies",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag",USA,USD,4.69,2,8,1.15,23,1,48,0.75,83,0.5,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag",Europe,USD,4.99,1.45,,,,,,,,,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag",UK,USD,4.59,1.5,8,1,23,0.75,48,0.5,83,0.35,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag",Canada,USD,7.29,1.95,8,1.4,23,1.2,48,1,83,0.8,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag","Australia / New Zealand",USD,7.99,1.4,,,,,,,,,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag",Japan,USD,4.89,2,,,,,,,,,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Bags and Accessories ","Tote bags, drawstring bags, fanny packs, everyday crossbody bag",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Bags and Accessories ",Backpacks,USA,USD,10.89,4.5,,,,,,,,,
"Bags and Accessories ",Backpacks,Europe,USD,13.79,5.75,,,,,,,,,
"Bags and Accessories ",Backpacks,UK,USD,11.49,4.95,,,,,,,,,
"Bags and Accessories ",Backpacks,"EFTA States",USD,16.69,6.9,,,,,,,,,
"Bags and Accessories ",Backpacks,Canada,USD,12.69,6.75,,,,,,,,,
"Bags and Accessories ",Backpacks,"Australia / New Zealand",USD,37.59,7.3,,,,,,,,,
"Bags and Accessories ",Backpacks,Japan,USD,55.99,7.05,,,,,,,,,
"Bags and Accessories ",Backpacks,Brazil,USD,51.99,19.99,,,,,,,,,
"Bags and Accessories ",Backpacks,Worldwide,USD,51.99,19.99,,,,,,,,,
"Bags and Accessories ","Duffle Bags",USA,USD,13.99,4,,,,,,,,,
"Bags and Accessories ","Duffle Bags",Europe,USD,13.19,5.2,,,,,,,,,
"Bags and Accessories ","Duffle Bags",UK,USD,16.59,7.4,,,,,,,,,
"Bags and Accessories ","Duffle Bags","EFTA States",USD,15.59,6.35,,,,,,,,,
"Bags and Accessories ","Duffle Bags",Canada,USD,15.69,6.5,,,,,,,,,
"Bags and Accessories ","Duffle Bags","Australia / New Zealand",USD,26.59,8.8,,,,,,,,,
"Bags and Accessories ","Duffle Bags",Japan,USD,44.89,18,,,,,,,,,
"Bags and Accessories ","Duffle Bags",Brazil,USD,41.59,20,,,,,,,,,
"Bags and Accessories ","Duffle Bags",Worldwide,USD,41.59,20,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag",USA,USD,8.29,7.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag",Europe,USD,9.29,8.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag",UK,USD,9.29,8.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag","EFTA States",USD,9.29,8.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag",Canada,USD,8.29,7.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag","Australia / New Zealand",USD,8.29,7.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag",Japan,USD,8.29,7.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag",Brazil,USD,9.29,8.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Crossbody Bag",Worldwide,USD,9.29,8.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag",USA,USD,4.69,2,8,1.15,23,1,48,0.75,83,0.5,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag",Europe,USD,4.99,1.45,,,,,,,,,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag",UK,USD,4.59,1.5,8,1,23,0.75,48,0.5,83,0.35,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag",Canada,USD,7.29,1.95,8,1.4,23,1.2,48,1,83,0.8,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag","Australia / New Zealand",USD,7.99,1.4,,,,,,,,,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag",Japan,USD,4.89,2,,,,,,,,,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Bags and Accessories ","All-Over Print Utility Crossbody Bag",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Bags and Accessories ","Weekender Bags",USA,USD,8.29,2.5,13,1.75,23,1.5,48,1.3,73,1.2,
"Bags and Accessories ","Weekender Bags",Europe,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"Bags and Accessories ","Weekender Bags",UK,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"Bags and Accessories ","Weekender Bags","EFTA States",USD,11.39,2.2,13,2,23,1.7,48,1.3,73,1.1,
"Bags and Accessories ","Weekender Bags",Canada,USD,9.79,2.35,13,1.9,23,1.7,48,1.5,73,1.2,
"Bags and Accessories ","Weekender Bags","Australia / New Zealand",USD,12.49,2.25,,,,,,,,,
"Bags and Accessories ","Weekender Bags",Japan,USD,7.89,2.6,,,,,,,,,
"Bags and Accessories ","Weekender Bags",Brazil,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"Bags and Accessories ","Weekender Bags",Worldwide,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"Bags and Accessories ","All-Over Print Shopping Bag",USA,USD,4.19,3.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Shopping Bag",Europe,USD,5.19,4.99,,,,,,,,,
"Bags and Accessories ","All-Over Print Shopping Bag",UK,USD,5.19,4.99,,,,,,,,,
